dataname,newdataname,newdatabegin,newdataend,newdataemotion
Ses02M_script03_2,Ses02M_script03_2_M006,36.3258,37.8815,xxx
Ses02M_script03_2,Ses02M_script03_2_M007,39.4011,41.4815,ang
Ses02M_script03_2,Ses02M_script03_2_M008,45.0092,47.8675,xxx
Ses02M_script03_2,Ses02M_script03_2_M009,49.6404,54.3077,xxx
Ses02M_script03_2,Ses02M_script03_2_M010,55.2122,57.5821,neu
Ses02M_script03_2,Ses02M_script03_2_M011,61.3268,65.5419,neu
Ses02M_script03_2,Ses02M_script03_2_M012,68.5630,75.2204,neu
Ses02M_script03_2,Ses02M_script03_2_M013,76.3601,80.9912,xxx
Ses02M_script03_2,Ses02M_script03_2_M014,81.0817,83.0716,xxx
Ses02M_script03_2,Ses02M_script03_2_M015,83.1621,84.8626,fru
Ses02M_script03_2,Ses02M_script03_2_M016,88.2093,91.1400,neu
Ses02M_script03_2,Ses02M_script03_2_M017,94.8847,98.2496,xxx
Ses02M_script03_2,Ses02M_script03_2_M018,102.3380,105.6305,neu
Ses02M_script03_2,Ses02M_script03_2_M019,106.4244,107.1144,xxx
Ses02M_script03_2,Ses02M_script03_2_M020,107.9461,112.5230,xxx
Ses02M_script03_2,Ses02M_script03_2_M021,113.6265,116.6295,fru
Ses02M_script03_2,Ses02M_script03_2_M022,117.7331,121.9120,fru
Ses02M_script03_2,Ses02M_script03_2_M023,121.9662,123.7391,fru
Ses02M_script03_2,Ses02M_script03_2_M024,129.4014,133.6165,neu
Ses02M_script03_2,Ses02M_script03_2_M025,135.7693,139.6407,xxx
Ses02M_script03_2,Ses02M_script03_2_M026,140.1110,143.1502,ang
Ses02M_script03_2,Ses02M_script03_2_M027,143.1864,147.0035,ang
Ses02M_script03_2,Ses02M_script03_2_M028,149.3372,152.6839,xxx
Ses02M_script03_2,Ses02M_script03_2_M029,155.1442,164.9131,xxx
Ses02M_script03_2,Ses02M_script03_2_M030,168.1513,173.7775,xxx
Ses02M_script03_2,Ses02M_script03_2_M031,174.0307,178.7343,ang
Ses02M_script03_2,Ses02M_script03_2_M032,180.9956,183.6368,neu
Ses02M_script03_2,Ses02M_script03_2_M033,185.5182,187.6529,neu
Ses02M_script03_2,Ses02M_script03_2_M034,188.4489,192.1755,xxx
Ses02M_script03_2,Ses02M_script03_2_M035,194.9253,197.8379,xxx
Ses02M_script03_2,Ses02M_script03_2_M036,198.9052,202.5595,xxx
Ses02M_script03_2,Ses02M_script03_2_M037,203.7173,206.3947,fru
Ses02M_script03_2,Ses02M_script03_2_M038,210.4289,213.3414,xxx
Ses02M_script03_2,Ses02M_script03_2_M039,215.3314,217.0862,ang
Ses02M_script03_2,Ses02M_script03_2_M040,217.1224,219.7817,ang
Ses02M_script03_2,Ses02M_script03_2_M041,223.2008,225.6611,ang
Ses02M_script03_2,Ses02M_script03_2_M042,230.2018,236.6782,ang
Ses02M_script03_2,Ses02M_script03_2_M043,239.3375,241.4722,ang
Ses02M_script03_2,Ses02M_script03_2_M044,241.6531,243.4983,ang
Ses02M_script03_2,Ses02M_script03_2_M045,243.8601,245.3797,ang
Ses02M_script03_2,Ses02M_script03_2_M046,245.4159,246.5737,ang
Ses02M_script03_2,Ses02M_script03_2_M047,248.1838,257.9346,ang
Ses02M_impro02,Ses02M_impro02_F000,3.9987,6.0541,sad
Ses02M_impro02,Ses02M_impro02_F001,15.5524,23.3599,sad
Ses02M_impro02,Ses02M_impro02_F002,23.5790,26.4151,sad
Ses02M_impro02,Ses02M_impro02_F003,31.3058,32.6401,sad
Ses02M_impro02,Ses02M_impro02_F004,33.4566,37.3201,sad
Ses02M_impro02,Ses02M_impro02_F005,54.0200,55.5818,sad
Ses02M_impro02,Ses02M_impro02_F006,56.6174,58.0712,sad
Ses02M_impro02,Ses02M_impro02_F007,59.0868,61.0584,sad
Ses02M_impro02,Ses02M_impro02_F008,64.7625,67.7895,sad
Ses02M_impro02,Ses02M_impro02_F009,84.1439,88.9590,sad
Ses02M_impro02,Ses02M_impro02_F010,89.8468,96.5662,sad
Ses02M_impro02,Ses02M_impro02_F011,108.5118,112.6479,fru
Ses02M_impro02,Ses02M_impro02_F012,137.8409,142.0114,sad
Ses02M_impro02,Ses02M_impro02_F013,155.7643,160.4854,sad
Ses02M_impro02,Ses02M_impro02_F014,178.7739,181.4226,sad
Ses02M_impro02,Ses02M_impro02_M000,7.0366,15.1000,sad
Ses02M_impro02,Ses02M_impro02_M001,26.7598,31.4253,sad
Ses02M_impro02,Ses02M_impro02_M002,32.6800,33.6558,sad
Ses02M_impro02,Ses02M_impro02_M003,37.5389,44.4296,fru
Ses02M_impro02,Ses02M_impro02_M004,44.4743,54.8649,xxx
Ses02M_impro02,Ses02M_impro02_M005,55.4225,56.8962,xxx
Ses02M_impro02,Ses02M_impro02_M006,58.1707,59.5249,xxx
Ses02M_impro02,Ses02M_impro02_M007,61.7187,63.7973,sad
Ses02M_impro02,Ses02M_impro02_M008,67.8916,74.1377,sad
Ses02M_impro02,Ses02M_impro02_M009,75.0359,84.1992,sad
Ses02M_impro02,Ses02M_impro02_M010,96.5942,99.7326,xxx
Ses02M_impro02,Ses02M_impro02_M011,101.0854,108.0313,xxx
Ses02M_impro02,Ses02M_impro02_M012,113.8282,119.8340,xxx
Ses02M_impro02,Ses02M_impro02_M013,120.2518,128.8678,sad
Ses02M_impro02,Ses02M_impro02_M014,129.5686,137.7099,neu
Ses02M_impro02,Ses02M_impro02_M015,141.7127,148.2248,xxx
Ses02M_impro02,Ses02M_impro02_M016,148.5469,155.0556,xxx
Ses02M_impro02,Ses02M_impro02_M017,159.4932,164.3000,sad
Ses02M_impro02,Ses02M_impro02_M018,165.8300,178.4193,sad
Ses02M_impro06,Ses02M_impro06_F000,5.1150,8.0522,xxx
Ses02M_impro06,Ses02M_impro06_F001,13.4307,18.4542,sur
Ses02M_impro06,Ses02M_impro06_F002,36.8400,40.9300,sad
Ses02M_impro06,Ses02M_impro06_F003,49.8500,53.6810,sad
Ses02M_impro06,Ses02M_impro06_F004,69.6811,74.4200,sad
Ses02M_impro06,Ses02M_impro06_F005,98.4900,100.0300,sad
Ses02M_impro06,Ses02M_impro06_F006,107.9600,110.1500,sad
Ses02M_impro06,Ses02M_impro06_F007,117.4822,118.2464,sad
Ses02M_impro06,Ses02M_impro06_F008,135.4980,140.6869,sad
Ses02M_impro06,Ses02M_impro06_F009,145.7747,148.7923,sad
Ses02M_impro06,Ses02M_impro06_F010,156.5503,158.1019,sad
Ses02M_impro06,Ses02M_impro06_F011,166.6705,168.5463,sad
Ses02M_impro06,Ses02M_impro06_F012,173.6388,178.3072,sad
Ses02M_impro06,Ses02M_impro06_F013,186.3551,188.9257,sad
Ses02M_impro06,Ses02M_impro06_F014,220.4210,223.2463,sad
Ses02M_impro06,Ses02M_impro06_F015,233.1349,235.1265,sad
Ses02M_impro06,Ses02M_impro06_F016,236.4697,238.2529,sad
Ses02M_impro06,Ses02M_impro06_F017,243.9962,246.0341,sad
Ses02M_impro06,Ses02M_impro06_F018,252.1016,254.1164,sad
Ses02M_impro06,Ses02M_impro06_M000,11.5200,13.4781,sad
Ses02M_impro06,Ses02M_impro06_M001,18.6500,23.1000,sad
Ses02M_impro06,Ses02M_impro06_M002,24.0800,39.1144,sad
Ses02M_impro06,Ses02M_impro06_M003,41.1400,49.1100,sad
Ses02M_impro06,Ses02M_impro06_M004,51.6000,68.5200,sad
Ses02M_impro06,Ses02M_impro06_M005,75.8700,85.2200,sad
Ses02M_impro06,Ses02M_impro06_M006,85.8500,98.7934,sad
Ses02M_impro06,Ses02M_impro06_M007,99.8200,106.3000,sad
Ses02M_impro06,Ses02M_impro06_M008,110.6000,117.5764,sad
Ses02M_impro06,Ses02M_impro06_M009,118.1717,135.9394,sad
Ses02M_impro06,Ses02M_impro06_M010,141.8896,145.6285,sad
Ses02M_impro06,Ses02M_impro06_M011,148.7303,156.1400,sad
Ses02M_impro06,Ses02M_impro06_M012,156.1700,159.0500,sad
Ses02M_impro06,Ses02M_impro06_M013,159.1100,165.0540,sad
Ses02M_impro06,Ses02M_impro06_M014,168.1400,172.8868,sad
Ses02M_impro06,Ses02M_impro06_M015,179.1531,186.6204,sad
Ses02M_impro06,Ses02M_impro06_M016,187.1193,199.2080,sad
Ses02M_impro06,Ses02M_impro06_M017,199.2311,214.1921,sad
Ses02M_impro06,Ses02M_impro06_M018,215.2678,217.8787,sad
Ses02M_impro06,Ses02M_impro06_M019,223.9257,233.6212,sad
Ses02M_impro06,Ses02M_impro06_M020,234.8486,236.6781,sad
Ses02M_impro06,Ses02M_impro06_M021,238.2546,243.8107,sad
Ses02M_impro06,Ses02M_impro06_M022,246.2650,248.3433,sad
Ses02M_impro06,Ses02M_impro06_M023,249.1373,252.0553,sad
Ses02M_script01_2,Ses02M_script01_2_F000,5.9770,8.3300,ang
Ses02M_script01_2,Ses02M_script01_2_F001,9.3600,13.4500,ang
Ses02M_script01_2,Ses02M_script01_2_F002,15.2100,18.3800,ang
Ses02M_script01_2,Ses02M_script01_2_F003,28.3000,30.6300,ang
Ses02M_script01_2,Ses02M_script01_2_F004,31.6500,34.3900,xxx
Ses02M_script01_2,Ses02M_script01_2_F005,36.9700,39.2200,ang
Ses02M_script01_2,Ses02M_script01_2_F006,39.4500,43.0300,ang
Ses02M_script01_2,Ses02M_script01_2_F007,44.2400,53.7400,fru
Ses02M_script01_2,Ses02M_script01_2_F008,55.1800,64.1800,fru
Ses02M_script01_2,Ses02M_script01_2_F009,66.8300,74.3800,fru
Ses02M_script01_2,Ses02M_script01_2_F010,74.8400,83.0600,ang
Ses02M_script01_2,Ses02M_script01_2_F011,83.1600,88.6400,fru
Ses02M_script01_2,Ses02M_script01_2_F012,88.6500,96.1700,xxx
Ses02M_script01_2,Ses02M_script01_2_F013,96.1900,99.8300,sad
Ses02M_script01_2,Ses02M_script01_2_F014,99.9000,105.8100,fru
Ses02M_script01_2,Ses02M_script01_2_F015,106.2000,109.4400,fru
Ses02M_script01_2,Ses02M_script01_2_F016,111.0700,113.6500,fru
Ses02M_script01_2,Ses02M_script01_2_F017,118.0500,120.1100,fru
Ses02M_script01_2,Ses02M_script01_2_M000,7.8900,9.7200,xxx
Ses02M_script01_2,Ses02M_script01_2_M001,12.4800,15.5400,neu
Ses02M_script01_2,Ses02M_script01_2_M002,18.3200,23.9100,fru
Ses02M_script01_2,Ses02M_script01_2_M003,24.5300,28.5200,fru
Ses02M_script01_2,Ses02M_script01_2_M004,30.2400,32.4200,neu
Ses02M_script01_2,Ses02M_script01_2_M005,35.3700,37.1900,neu
Ses02M_script01_2,Ses02M_script01_2_M006,38.4200,40.5500,xxx
Ses02M_script01_2,Ses02M_script01_2_M007,42.5500,44.6300,neu
Ses02M_script01_2,Ses02M_script01_2_M008,53.1400,55.5200,fru
Ses02M_script01_2,Ses02M_script01_2_M009,64.7300,67.7300,fru
Ses02M_script01_2,Ses02M_script01_2_M010,73.6100,76.2000,fru
Ses02M_script01_2,Ses02M_script01_2_M011,82.6000,84.5100,fru
Ses02M_script01_2,Ses02M_script01_2_M012,94.9900,96.8700,fru
Ses02M_script01_2,Ses02M_script01_2_M013,99.1400,100.9000,fru
Ses02M_script01_2,Ses02M_script01_2_M014,104.6400,107.3800,fru
Ses02M_script01_2,Ses02M_script01_2_M015,108.7200,111.2800,xxx
Ses02M_script01_2,Ses02M_script01_2_M016,113.2400,115.9300,ang
Ses02M_script01_2,Ses02M_script01_2_M017,116.1000,118.8100,ang
Ses02M_script01_2,Ses02M_script01_2_M018,119.4000,124.3700,fru
Ses02F_script01_1,Ses02F_script01_1_F000,7.0500,10.5200,xxx
Ses02F_script01_1,Ses02F_script01_1_F001,11.5500,15.0800,xxx
Ses02F_script01_1,Ses02F_script01_1_F002,16.5500,18.0000,xxx
Ses02F_script01_1,Ses02F_script01_1_F003,24.5900,27.7900,xxx
Ses02F_script01_1,Ses02F_script01_1_F004,33.2025,35.1973,sad
Ses02F_script01_1,Ses02F_script01_1_F005,39.1000,41.8600,sad
Ses02F_script01_1,Ses02F_script01_1_F006,44.8800,47.1900,sad
Ses02F_script01_1,Ses02F_script01_1_F007,47.2500,51.2394,xxx
Ses02F_script01_1,Ses02F_script01_1_F008,52.7600,58.2500,xxx
Ses02F_script01_1,Ses02F_script01_1_F009,64.2500,65.6600,xxx
Ses02F_script01_1,Ses02F_script01_1_F010,70.0000,71.8500,xxx
Ses02F_script01_1,Ses02F_script01_1_F011,78.2300,80.2700,fru
Ses02F_script01_1,Ses02F_script01_1_F012,96.4800,98.7100,fru
Ses02F_script01_1,Ses02F_script01_1_F013,99.8800,102.4300,fru
Ses02F_script01_1,Ses02F_script01_1_F014,106.4100,116.2200,fru
Ses02F_script01_1,Ses02F_script01_1_F015,118.2100,126.0200,xxx
Ses02F_script01_1,Ses02F_script01_1_F016,131.6300,133.0800,xxx
Ses02F_script01_1,Ses02F_script01_1_F017,134.5400,138.6700,sad
Ses02F_script01_1,Ses02F_script01_1_F018,142.5200,144.9616,neu
Ses02F_script01_1,Ses02F_script01_1_F019,147.2000,150.7800,ang
Ses02F_script01_1,Ses02F_script01_1_F020,153.4400,157.3000,xxx
Ses02F_script01_1,Ses02F_script01_1_F021,157.8100,159.7500,neu
Ses02F_script01_1,Ses02F_script01_1_F022,169.5200,173.0200,xxx
Ses02F_script01_1,Ses02F_script01_1_F023,173.9000,179.6300,fru
Ses02F_script01_1,Ses02F_script01_1_F024,179.6600,187.6800,fru
Ses02F_script01_1,Ses02F_script01_1_F025,199.5300,202.2400,neu
Ses02F_script01_1,Ses02F_script01_1_F026,203.2237,206.3000,neu
Ses02F_script01_1,Ses02F_script01_1_F027,208.3300,212.7334,neu
Ses02F_script01_1,Ses02F_script01_1_F028,225.0100,227.9200,sad
Ses02F_script01_1,Ses02F_script01_1_F029,227.9500,229.4970,fru
Ses02F_script01_1,Ses02F_script01_1_F030,231.1923,234.0509,fru
Ses02F_script01_1,Ses02F_script01_1_F031,236.3101,244.8300,fru
Ses02F_script01_1,Ses02F_script01_1_F032,252.9100,261.3100,fru
Ses02F_script01_1,Ses02F_script01_1_F033,261.3300,264.8800,fru
Ses02F_script01_1,Ses02F_script01_1_F034,265.5800,268.2700,fru
Ses02F_script01_1,Ses02F_script01_1_F035,281.7400,283.6600,sur
Ses02F_script01_1,Ses02F_script01_1_F036,289.0800,290.7700,ang
Ses02F_script01_1,Ses02F_script01_1_F037,293.3600,295.8800,ang
Ses02F_script01_1,Ses02F_script01_1_F038,298.4100,300.5800,ang
Ses02F_script01_1,Ses02F_script01_1_F039,316.2500,319.8300,xxx
Ses02F_script01_1,Ses02F_script01_1_F040,322.4900,325.8319,ang
Ses02F_script01_1,Ses02F_script01_1_F041,326.7000,336.4000,xxx
Ses02F_script01_1,Ses02F_script01_1_F042,339.2600,343.7600,fru
Ses02F_script01_1,Ses02F_script01_1_F043,346.5600,349.8700,fru
Ses02F_script01_1,Ses02F_script01_1_F044,353.5200,356.2000,sad
Ses02F_script01_1,Ses02F_script01_1_M000,10.1700,11.8100,xxx
Ses02F_script01_1,Ses02F_script01_1_M001,14.9600,16.8000,xxx
Ses02F_script01_1,Ses02F_script01_1_M002,17.7378,24.9400,xxx
Ses02F_script01_1,Ses02F_script01_1_M003,27.7000,33.8200,xxx
Ses02F_script01_1,Ses02F_script01_1_M004,34.6933,39.4500,xxx
Ses02F_script01_1,Ses02F_script01_1_M005,41.0700,44.3927,xxx
Ses02F_script01_1,Ses02F_script01_1_M006,51.3300,53.0700,xxx
Ses02F_script01_1,Ses02F_script01_1_M007,58.6000,64.5900,xxx
Ses02F_script01_1,Ses02F_script01_1_M008,65.8200,70.7900,xxx
Ses02F_script01_1,Ses02F_script01_1_M009,72.1900,78.9600,xxx
Ses02F_script01_1,Ses02F_script01_1_M010,79.9900,86.2800,xxx
Ses02F_script01_1,Ses02F_script01_1_M011,86.3500,97.8000,ang
Ses02F_script01_1,Ses02F_script01_1_M012,98.2200,100.1600,fru
Ses02F_script01_1,Ses02F_script01_1_M013,102.0900,107.1800,ang
Ses02F_script01_1,Ses02F_script01_1_M014,116.1000,118.4900,xxx
Ses02F_script01_1,Ses02F_script01_1_M015,124.8600,131.8100,fru
Ses02F_script01_1,Ses02F_script01_1_M016,133.0600,134.4100,xxx
Ses02F_script01_1,Ses02F_script01_1_M017,139.3100,141.7800,neu
Ses02F_script01_1,Ses02F_script01_1_M018,144.9300,147.7400,fru
Ses02F_script01_1,Ses02F_script01_1_M019,150.8400,152.1600,fru
Ses02F_script01_1,Ses02F_script01_1_M020,152.1700,153.8100,fru
Ses02F_script01_1,Ses02F_script01_1_M021,155.7900,158.5800,ang
Ses02F_script01_1,Ses02F_script01_1_M022,158.8300,170.4500,xxx
Ses02F_script01_1,Ses02F_script01_1_M023,172.7400,174.7600,ang
Ses02F_script01_1,Ses02F_script01_1_M024,187.6800,200.6209,fru
Ses02F_script01_1,Ses02F_script01_1_M025,201.9800,203.3600,ang
Ses02F_script01_1,Ses02F_script01_1_M026,206.1200,208.4700,xxx
Ses02F_script01_1,Ses02F_script01_1_M027,212.7000,225.6616,sad
Ses02F_script01_1,Ses02F_script01_1_M028,229.2900,231.4600,xxx
Ses02F_script01_1,Ses02F_script01_1_M029,234.3900,235.9700,neu
Ses02F_script01_1,Ses02F_script01_1_M030,244.3500,249.4900,xxx
Ses02F_script01_1,Ses02F_script01_1_M031,249.5400,253.7100,fru
Ses02F_script01_1,Ses02F_script01_1_M032,263.8700,265.8200,fru
Ses02F_script01_1,Ses02F_script01_1_M033,268.0638,277.8066,fru
Ses02F_script01_1,Ses02F_script01_1_M034,277.8400,281.7400,xxx
Ses02F_script01_1,Ses02F_script01_1_M035,283.7606,289.8709,xxx
Ses02F_script01_1,Ses02F_script01_1_M036,290.2700,293.5400,ang
Ses02F_script01_1,Ses02F_script01_1_M037,295.5400,298.9900,ang
Ses02F_script01_1,Ses02F_script01_1_M038,299.3700,306.8400,ang
Ses02F_script01_1,Ses02F_script01_1_M039,306.8900,316.3900,xxx
Ses02F_script01_1,Ses02F_script01_1_M040,319.9700,322.4800,neu
Ses02F_script01_1,Ses02F_script01_1_M041,325.5800,328.5200,xxx
Ses02F_script01_1,Ses02F_script01_1_M042,335.1600,338.9700,fru
Ses02F_script01_1,Ses02F_script01_1_M043,343.3500,345.6700,neu
Ses02F_script01_1,Ses02F_script01_1_M044,350.0500,353.4300,neu
Ses02M_impro08,Ses02M_impro08_F000,5.8326,11.4941,exc
Ses02M_impro08,Ses02M_impro08_F001,11.5765,17.4979,exc
Ses02M_impro08,Ses02M_impro08_F002,17.5233,23.6412,exc
Ses02M_impro08,Ses02M_impro08_F003,26.2317,31.2805,fru
Ses02M_impro08,Ses02M_impro08_F004,31.3039,37.8395,fru
Ses02M_impro08,Ses02M_impro08_F005,51.1141,60.9752,fru
Ses02M_impro08,Ses02M_impro08_F006,61.0932,63.8674,neu
Ses02M_impro08,Ses02M_impro08_F007,63.8928,69.3915,neu
Ses02M_impro08,Ses02M_impro08_F008,69.5168,73.9495,neu
Ses02M_impro08,Ses02M_impro08_F009,73.9713,79.1524,fru
Ses02M_impro08,Ses02M_impro08_F010,80.9592,88.8614,neu
Ses02M_impro08,Ses02M_impro08_F011,88.8844,95.1091,fru
Ses02M_impro08,Ses02M_impro08_F012,98.9404,103.3519,xxx
Ses02M_impro08,Ses02M_impro08_F013,117.4010,121.6994,xxx
Ses02M_impro08,Ses02M_impro08_F014,123.0606,125.2593,xxx
Ses02M_impro08,Ses02M_impro08_F015,133.6816,134.6960,xxx
Ses02M_impro08,Ses02M_impro08_F016,134.7087,138.8649,fru
Ses02M_impro08,Ses02M_impro08_F017,138.8649,140.6043,xxx
Ses02M_impro08,Ses02M_impro08_F018,141.4772,144.8732,fea
Ses02M_impro08,Ses02M_impro08_F019,147.8773,151.8393,neu
Ses02M_impro08,Ses02M_impro08_F020,164.0735,165.2490,sur
Ses02M_impro08,Ses02M_impro08_F021,165.9457,173.0192,xxx
Ses02M_impro08,Ses02M_impro08_F022,183.2845,185.0723,xxx
Ses02M_impro08,Ses02M_impro08_F023,187.3229,188.6099,hap
Ses02M_impro08,Ses02M_impro08_F024,190.8923,191.8940,hap
Ses02M_impro08,Ses02M_impro08_F025,199.9925,201.4292,neu
Ses02M_impro08,Ses02M_impro08_F026,204.8688,206.1096,neu
Ses02M_impro08,Ses02M_impro08_F027,208.1123,209.3096,neu
Ses02M_impro08,Ses02M_impro08_F028,210.1273,213.7030,hap
Ses02M_impro08,Ses02M_impro08_F029,214.6648,216.1669,xxx
Ses02M_impro08,Ses02M_impro08_F030,216.1796,218.7792,hap
Ses02M_impro08,Ses02M_impro08_M000,3.6166,6.0102,neu
Ses02M_impro08,Ses02M_impro08_M001,10.9934,13.1234,xxx
Ses02M_impro08,Ses02M_impro08_M002,22.6205,27.3120,neu
Ses02M_impro08,Ses02M_impro08_M003,37.9230,48.3927,neu
Ses02M_impro08,Ses02M_impro08_M004,48.4404,51.3750,neu
